"","Broad grouping","Scientific_Name","Common_Name","CalCOFI sampled species","Federal Fished Species","Federal Marine Mammal Species","Threatened & Endangered Species","State Commercial Species","State Rec Species"
"842",NA,"Mugil cephalus","Striped mullet",NA,NA,NA,NA,NA,NA
"843","Fish",NA,"Striped Mullet",NA,NA,NA,NA,"State","State"
"844","Fish",NA,"Striped Seaperch",NA,NA,NA,NA,"State","State"
"845",NA,"Rathbunella alleni","Stripefin ronquil",NA,NA,NA,NA,NA,NA
"846","Fish","Sebastes saxicola","Stripetail Rockfish",NA,"Federal",NA,NA,"State","State"
"847",NA,NA,"Sturgeons",NA,NA,NA,NA,"State",NA
"848",NA,NA,"Sucker",NA,NA,NA,NA,"State",NA
"849","Fish","Lampadena urophaos","Sunbeam lampfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"850","Marine mammals/Seabirds/Turtles","Melanitta perspicillata","Surf Scoter","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"851","Fish",NA,"Surf Smelt",NA,NA,NA,NA,"State","State"
"852","Fish",NA,"Surfperch Family",NA,NA,NA,NA,NA,"State"
"853","Fish",NA,"Swell Shark",NA,NA,NA,NA,"State","State"
"854",NA,NA,"Swordfish",NA,NA,NA,NA,"State",NA
"855","Fish",NA,"Swordspine Rockfish",NA,NA,NA,NA,"State","State"
"856",NA,NA,"Tanner Crab",NA,NA,NA,NA,"State",NA
"857",NA,"Radiicephalus elongatus","Tapertail",NA,NA,NA,NA,NA,NA
"858",NA,NA,"Tegula Snail",NA,NA,NA,NA,"State",NA
"859","Fish","Clinidae","Temperate Blennies","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"860","Marine mammals/Seabirds/Turtles","Larus thayeri","Thayer'S Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"861",NA,NA,"Themiste",NA,NA,NA,NA,"State",NA
"862",NA,"Hygophum atratum","Thickhead lanternfish",NA,NA,NA,NA,NA,NA
"863","Fish",NA,"Thornback",NA,NA,NA,NA,NA,"State"
"864",NA,"Paricelinus hopliticus","Thornback sculpin",NA,NA,NA,NA,NA,NA
"865",NA,NA,"Thornback Skate",NA,NA,NA,NA,"State",NA
"866",NA,"Sebastolobus spp.","Thornyheads",NA,NA,NA,NA,"State",NA
"867","Inverts/Zooplankton",NA,"Threaded Abalone",NA,NA,NA,NA,"State",NA
"868",NA,"Pronotogrammus multifasciatus","Threadfin bass",NA,NA,NA,NA,NA,NA
"869","Fish",NA,"Threadfin Bass",NA,NA,NA,NA,NA,"State"
"870",NA,"Bathophilus filifer","Threadfin dragonfish",NA,NA,NA,NA,NA,NA
"871",NA,NA,"Threadfin Shad",NA,NA,NA,NA,"State",NA
"872",NA,NA,"Threespine Stickleback",NA,NA,NA,NA,"State",NA
"873",NA,NA,"Thresher Shark",NA,NA,NA,NA,"State",NA
"874","Fish","Sebastes nigrocinctus","Tiger Rockfish",NA,"Federal",NA,NA,NA,"State"
"875",NA,NA,"Tilapia",NA,NA,NA,NA,"State",NA
"876",NA,NA,"Tongue Sole",NA,NA,NA,NA,"State",NA
"877",NA,NA,"Top Snail",NA,NA,NA,NA,"State",NA
"878","Fish","Notolychnus valdiviae","Topside lampfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"879","Fish","Atherinops affinis","Topsmelt",NA,NA,NA,NA,"State","State"
"880",NA,NA,"Totuava Seabass",NA,NA,NA,NA,"State",NA
"881","Marine mammals/Seabirds/Turtles","Setophaga townsendi","Townsend's Warbler","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"882",NA,NA,"Trawled Fish For Animal Food",NA,NA,NA,NA,"State",NA
"883","Fish","Sebastes serriceps","Treefish",NA,"Federal",NA,NA,NA,"State"
"884",NA,NA,"Treefish Rockfish",NA,NA,NA,NA,"State",NA
"885",NA,NA,"Triggerfish",NA,NA,NA,NA,"State",NA
"886",NA,"Cryptopsaras couesii","Triplewart seadevil",NA,NA,NA,NA,NA,NA
"887",NA,"Argyropelecus lychnus","Tropical hatchetfish",NA,NA,NA,NA,NA,NA
"888","Marine mammals/Seabirds/Turtles","Phaethon","Tropicbirds","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"889","Fish","Oncorhynchus spp.","Trout And Salmon -- Many Spp.",NA,NA,NA,"State & Federal",NA,NA
"890",NA,NA,"True Smelts",NA,NA,NA,NA,"State",NA
"891",NA,"Aulorhynchus flavidus","Tubesnout",NA,NA,NA,NA,NA,NA
"892","Marine mammals/Seabirds/Turtles","Fratercula cirrhata","Tufted Puffin","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"893",NA,NA,"Tunicates",NA,NA,NA,NA,"State",NA
"894",NA,NA,"Turbot",NA,NA,NA,NA,"State",NA
"895",NA,"Pleuronichthys spp.","Turbots",NA,NA,NA,NA,NA,NA
"896",NA,NA,"Turtle",NA,NA,NA,NA,"State",NA
"897",NA,"Scopelogadus bispinosus","Twospine bigscale",NA,NA,NA,NA,NA,NA
"898","Fish",NA,"Unidentified (Surface Fish)",NA,NA,NA,NA,NA,"State"
"899","Fish",NA,"Unidentified Fish",NA,NA,NA,NA,NA,"State"
"900","Fish",NA,"Unidentified Inshore Sharks",NA,NA,NA,NA,NA,"State"
"901","Fish",NA,"Unidentified Offshore Sharks",NA,NA,NA,NA,NA,"State"
"902",NA,NA,"Unspecifed Croaker",NA,NA,NA,NA,"State",NA
"903","Fish",NA,"Unspecified Catfish",NA,NA,NA,NA,"State",NA
"904","Inverts/Zooplankton",NA,"Unspecified Chiton",NA,NA,NA,NA,"State",NA
"905","Inverts/Zooplankton",NA,"Unspecified Clam",NA,NA,NA,NA,"State",NA
"906",NA,NA,"Unspecified Crayfish",NA,NA,NA,NA,"State",NA
"907",NA,NA,"Unspecified Crustacean",NA,NA,NA,NA,"State",NA
"908",NA,NA,"Unspecified Echinoderm",NA,NA,NA,NA,"State",NA
"909",NA,NA,"Unspecified Fish",NA,NA,NA,NA,"State",NA
"910",NA,NA,"Unspecified Flounder",NA,NA,NA,NA,"State",NA
"911",NA,NA,"Unspecified Halibut",NA,NA,NA,NA,"State",NA
"912",NA,NA,"Unspecified Jacks",NA,NA,NA,NA,"State",NA
"913",NA,NA,"Unspecified Limpet",NA,NA,NA,NA,"State",NA
"914",NA,NA,"Unspecified Mackerel",NA,NA,NA,NA,"State",NA
"915",NA,NA,"Unspecified Mollusk",NA,NA,NA,NA,"State",NA
"916",NA,NA,"Unspecified Octopus",NA,NA,NA,NA,"State",NA
"917",NA,NA,"Unspecified Oyster",NA,NA,NA,NA,"State",NA
"918",NA,NA,"Unspecified Perch-Like",NA,NA,NA,NA,"State",NA
"919",NA,NA,"Unspecified Ray",NA,NA,NA,NA,"State",NA
"920",NA,NA,"Unspecified Rockfish",NA,NA,NA,NA,"State",NA
"921",NA,NA,"Unspecified Scallop",NA,NA,NA,NA,"State",NA
"922",NA,NA,"Unspecified Sea Cucumber",NA,NA,NA,NA,"State",NA
"923",NA,NA,"Unspecified Shark",NA,NA,NA,NA,"State",NA
"924",NA,NA,"Unspecified Shrimp",NA,NA,NA,NA,"State",NA
"925",NA,NA,"Unspecified Skate",NA,NA,NA,NA,"State",NA
"926",NA,NA,"Unspecified Sole",NA,NA,NA,NA,"State",NA
"927",NA,NA,"Unspecified Surfperch",NA,NA,NA,NA,"State",NA
"928",NA,NA,"Unspecified Trawled Fish",NA,NA,NA,NA,"State",NA
"929",NA,NA,"Unspecified Tuna",NA,NA,NA,NA,"State",NA
"930","Fish","Sebastes miniatus","Vermilion Rockfish",NA,"Federal",NA,NA,"State","State"
"931",NA,"Bythitidae","Viviparous Brotulas",NA,NA,NA,NA,NA,NA
"932",NA,NA,"Wahoo",NA,NA,NA,NA,"State",NA
"933","Fish",NA,"Walleye Surfperch",NA,NA,NA,NA,"State","State"
"934",NA,NA,"Warty Sea Cucumber",NA,NA,NA,NA,"State",NA
"935","Inverts/Zooplankton",NA,"Washington clams",NA,NA,NA,NA,NA,"State"
"936","Inverts/Zooplankton",NA,"Wavy turban snail",NA,NA,NA,NA,NA,"State"
"937",NA,NA,"Weathervane Scallop",NA,NA,NA,NA,"State",NA
"938","Marine mammals/Seabirds/Turtles","Oceanodroma tethys","Wedge-Rumped Storm Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"939","Marine mammals/Seabirds/Turtles","Puffinus pacificus","Wedge-Tailed Shearwater","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"940","Marine mammals/Seabirds/Turtles","Aechmophorus occidentalis","Western Grebe","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"941","Marine mammals/Seabirds/Turtles","Larus occidentalis","Western Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"942","Marine mammals/Seabirds/Turtles","Calidris mauri","Western Sandpiper","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"943","Marine mammals/Seabirds/Turtles","Charadrius nivosus","Western Snowy Plover",NA,NA,NA,"Federal",NA,NA
"944","Marine mammals/Seabirds/Turtles","Numenius phaeopus","Whimbrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"945",NA,"Gigantactis spp.","Whipnoses",NA,NA,NA,NA,NA,NA
"946",NA,"Desmodema lorum","Whiptail ribbonfish",NA,NA,NA,NA,NA,NA
"947","Inverts/Zooplankton","Haliotis sorenseni","White Abalone",NA,NA,NA,"Federal","State",NA
"948",NA,"Arctozenus risso","White barracudina",NA,NA,NA,NA,NA,NA
"949",NA,"Genyonemus lineatus","White croaker",NA,NA,NA,NA,NA,NA
"950","Fish",NA,"White Croaker",NA,NA,NA,NA,"State","State"
"951",NA,NA,"White Sea Urchin",NA,NA,NA,NA,"State",NA
"952",NA,"Atractoscion nobilis","White seabass",NA,NA,NA,NA,NA,NA
"953","Fish",NA,"White Seabass",NA,NA,NA,NA,"State","State"
"954","Fish",NA,"White Seaperch",NA,NA,NA,NA,NA,"State"
"955",NA,NA,"White Shark",NA,NA,NA,NA,"State",NA
"956","Fish",NA,"White Sturgeon",NA,NA,NA,NA,NA,"State"
"957",NA,NA,"White Surfperch",NA,NA,NA,NA,"State",NA
"958","Marine mammals/Seabirds/Turtles","Melanitta fusca deglandi","White-winged sccoter","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"959",NA,NA,"Whitebait Smelt",NA,NA,NA,NA,"State",NA
"960","Fish","Sebastes entomelas","Widow Rockfish",NA,"Federal",NA,NA,"State","State"
"961","Marine mammals/Seabirds/Turtles","Tringa semipalmata","Willet","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"962","Marine mammals/Seabirds/Turtles","Oceanites oceanicus","Wilson's Storm Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"963","Marine mammals/Seabirds/Turtles","Cardellina pusilla","Wilson's Warbler","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"964",NA,NA,"Wolf (Wolf-Eel) Eel",NA,NA,NA,NA,"State",NA
"965","Fish",NA,"Wolf-Eel",NA,NA,NA,NA,NA,"State"
"966",NA,"Clinocottus analis","Woolly sculpin",NA,NA,NA,NA,NA,NA
"967","Fish",NA,"Wrasse Family",NA,NA,NA,NA,NA,"State"
"968","Fish","Labridae","Wrasses","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"969","Marine mammals/Seabirds/Turtles","Synthliboramphus hypoleucus","Xantus's Murrelet","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"970",NA,NA,"Yellow Rock Crab",NA,NA,NA,NA,"State",NA
"971",NA,"Ophichthus zophochir","Yellow snake eel",NA,NA,NA,NA,NA,NA
"972","Marine mammals/Seabirds/Turtles","Setophaga coronata","Yellow-Rumped Warbler","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"973",NA,"Icelinus quadriseriatus","Yellowchin sculpin",NA,NA,NA,NA,NA,NA
"974",NA,NA,"Yellowchin Sculpin",NA,NA,NA,NA,"State",NA
"975","Fish","Sebastes ruberrimus","Yelloweye Rockfish",NA,"Federal",NA,"Federal","State","State"
"976",NA,"Umbrina roncador","Yellowfin croaker",NA,NA,NA,NA,NA,NA
"977","Fish",NA,"Yellowfin Croaker",NA,NA,NA,NA,"State","State"
"978",NA,"Neoclinus stephensae","Yellowfin fringehead",NA,NA,NA,NA,NA,NA
"979",NA,NA,"Yellowfin Goby",NA,NA,NA,NA,"State",NA
"980",NA,NA,"Yellowfin Tuna",NA,NA,NA,NA,"State",NA
"981","Fish","Sebastes reedi","Yellowmouth Rockfish",NA,"Federal",NA,NA,NA,NA
"982","Fish",NA,"Yellowtail",NA,NA,NA,NA,"State","State"
"983","Fish","Seriola lalandi","Yellowtail jack","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"984","Fish","Sebastes flavidus","Yellowtail Rockfish",NA,"Federal",NA,NA,"State","State"
"985",NA,"Lythrypnus zebra","Zebra goby",NA,NA,NA,NA,NA,NA
"986",NA,NA,"Zebra Goby",NA,NA,NA,NA,"State",NA
"987","Fish","Hermosilla azurea","Zebraperch",NA,NA,NA,NA,"State","State"
"988","Algae/Phytoplankton","Gonyaulax polygramma",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"989","Algae/Phytoplankton","Oxytoxum laticeps",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"990","Algae/Phytoplankton","Ditylum brightwelli",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"991","Inverts/Zooplankton","Pleuromamma quadrungulata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"992","Algae/Phytoplankton","Gephyrocapsa oceanica",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"993","Algae/Phytoplankton","Gonyaulax, undistiguished spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"994","Inverts/Zooplankton","Lucicutia spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"995","Inverts/Zooplankton","Soestia zonaria",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"996","Algae/Phytoplankton","Nitzschia cf  interruptastriata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"997","Algae/Phytoplankton","Octactis pulchra + O  ocatnaria",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"998","Algae/Phytoplankton","Odontella rhombus + O  aurita",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"999","Algae/Phytoplankton","Ophiaster spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1000","Algae/Phytoplankton","Chaetoceros eibenii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1001","Algae/Phytoplankton","Oxytoxum, undistiguished spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1002","Inverts/Zooplankton","Pareucalanus attenuatus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1003","Algae/Phytoplankton","Actinocyclus octanarius",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1004","Algae/Phytoplankton","Actinocyclus, undistiguished spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1005","Inverts/Zooplankton","Aetideus bradyi",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1006","Algae/Phytoplankton","Akashiwo sanguinea",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1007","Algae/Phytoplankton","Amylax sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1008","Algae/Phytoplankton","Anoplosolenia brasiliensis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1009","Algae/Phytoplankton","Prorocentrum rostratum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1010",NA,"Bathylagus spp.",NA,NA,NA,NA,NA,NA,NA
"1011","Algae/Phytoplankton","Blepharocysta spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1012","Algae/Phytoplankton","Braarudosphaera bigelowii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1013","Algae/Phytoplankton","Calyptrolithina wettsteinii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1014",NA,"Ceratioidei",NA,NA,NA,NA,NA,NA,NA
"1015","Algae/Phytoplankton","Ceratium biceps + C  extensum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1016","Algae/Phytoplankton","Ceratium declinatum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1017","Algae/Phytoplankton","Ceratium gibberum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1018","Algae/Phytoplankton","Ceratium lineatum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1019","Algae/Phytoplankton","Ceratium minutum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1020","Algae/Phytoplankton","Ceratocorys, undistiguished spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1021","Algae/Phytoplankton","Chaetoceros compressus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1022","Algae/Phytoplankton","Chaetoceros concavicornis + C  convolutus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1023","Algae/Phytoplankton","Chaetoceros costatus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1024","Algae/Phytoplankton","Chaetoceros danicus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1025","Algae/Phytoplankton","Gonyaulax cf  spinifera",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1026","Algae/Phytoplankton","Gonyaulax hyalina",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1027","Algae/Phytoplankton","Chaetoceros peruvianus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1028","Algae/Phytoplankton","Chaetoceros radicans spore",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1029","Algae/Phytoplankton","Chaetoceros, undistiguished spp  (Hyalochaete)",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1030","Algae/Phytoplankton","coccolithophore sp  3",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1031","Algae/Phytoplankton","coccolithophore sp  4",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1032","Algae/Phytoplankton","Coccolithus pelagicus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1033","Algae/Phytoplankton","Corythodinium cf curvicaudatum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1034","Algae/Phytoplankton","Corythodinium cf globosum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1035","Algae/Phytoplankton","Coscinodiscus centralis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1036","Algae/Phytoplankton","Coscinodiscus concinnus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1037","Algae/Phytoplankton","Coscinodiscus curvatulus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1038","Algae/Phytoplankton","Coscinosira spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1039","Inverts/Zooplankton","Ctenophora",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1040","Algae/Phytoplankton","Deutschlandia anthos",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1041",NA,"Diogenichthys spp.",NA,NA,NA,NA,NA,NA,NA
"1042","Algae/Phytoplankton","Dissodinium lunula",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1043","Inverts/Zooplankton","Dolioletta sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1044","Inverts/Zooplankton","Eucalanus hyalinus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1045","Algae/Phytoplankton","Eucampia zoodiacus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1046","Inverts/Zooplankton","Euchaeta acuta",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1047","Inverts/Zooplankton","Euchaeta media",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1048","Inverts/Zooplankton","Euchirella pseudopulchra",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1049",NA,"Eustomias spp.",NA,NA,NA,NA,NA,NA,NA
"1050","Inverts/Zooplankton","Foraminifera",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1051","Algae/Phytoplankton","Fragilariopsis pseudonana",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1052","Algae/Phytoplankton","Oolithotus fragilis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1053","Inverts/Zooplankton","Gaidius pungens",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1054","Algae/Phytoplankton","Syracosphaera pulchra",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1055","Algae/Phytoplankton","Gephyrocapsa ornata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1056","Algae/Phytoplankton","Gonyaulax areolata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1057","Algae/Phytoplankton","Peridinium ovum + P  subpyriforme",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1058","Algae/Phytoplankton","Guinardia cylindrus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1059","Algae/Phytoplankton","Guinardia delicatula",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1060","Algae/Phytoplankton","Mastogloia woodiana + pennate a",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1061","Algae/Phytoplankton","Oxytoxum milneri + O  subulatum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1062","Algae/Phytoplankton","Prorocentrum sp  b",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1063","Algae/Phytoplankton","Haslea gigantea",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1064","Algae/Phytoplankton","Helicosphaera carterae + H  hyalina",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1065","Algae/Phytoplankton","Helicotheca sp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1066","Algae/Phytoplankton","Helladosphaera spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1067","Algae/Phytoplankton","Hemiaulus hauckii",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1068","Algae/Phytoplankton","Hemiaulus sinensis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1069","Algae/Phytoplankton","Hemidiscus cuneiformis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1070","Inverts/Zooplankton","Heterorhabdus abyssalis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1071",NA,"Howella pammelas",NA,NA,NA,NA,NA,NA,NA
"1072",NA,"Icelinus spp.",NA,NA,NA,NA,NA,NA,NA
"1073","Inverts/Zooplankton","Labidocera trispinosa",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1074","Algae/Phytoplankton","Lauderia annulata",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1075","Algae/Phytoplankton","Leucocryptos marina",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1076","Fish","Lipolagus ochotensis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1077","Algae/Phytoplankton","Brachydinium sp  b",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1078","Algae/Phytoplankton","Mesoporos spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1079","Fish","Myctophum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1080",NA,"Myctophum lychnobium",NA,NA,NA,NA,NA,NA,NA
"1081",NA,"Nannobrachium spp.",NA,NA,NA,NA,NA,NA,NA
"1082","Inverts/Zooplankton","Nematoscelis difficilis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1083","Inverts/Zooplankton","Neocalanus gracilis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1084","Algae/Phytoplankton","Ceratium furca",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1085","Algae/Phytoplankton","Ceratium fusus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1086",NA,"Nezumia spp.",NA,NA,NA,NA,NA,NA,NA
"1087","Algae/Phytoplankton","Ceratium macrocercos",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1088","Algae/Phytoplankton","Nitzschia sicula var  a",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1089","Algae/Phytoplankton","Nitzschia sicula var  b",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1090","Algae/Phytoplankton","Chaetoceros affinis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1091","Algae/Phytoplankton","Chaetoceros anastomosans",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1092","Algae/Phytoplankton","Chaetoceros borealis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1093","Algae/Phytoplankton","Chaetoceros cf  subtilis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1094","Inverts/Zooplankton","Ostracoda",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1095","Algae/Phytoplankton","Rhizosolenia styliformis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1096","Algae/Phytoplankton","Oxyphysis oxytoxoides",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1097","Algae/Phytoplankton","Oxytoxum adriaticum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1098","Algae/Phytoplankton","Oxytoxum cf  mediterraneum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1099","Algae/Phytoplankton","Oxytoxum cf variabile type",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1100","Algae/Phytoplankton","Chaetoceros debilis spore",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1101","Algae/Phytoplankton","Chaetoceros decipiens",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1102","Algae/Phytoplankton","Chaetoceros didymus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1103","Fish","Symbolophorus evermanni",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1104","Algae/Phytoplankton","Chaetoceros laciniosus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1105","Algae/Phytoplankton","Chaetoceros messanensis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1106","Algae/Phytoplankton","Paleophalacroma verrucosum",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1107","Algae/Phytoplankton","Protoperidinium oceanica complex",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1108","Algae/Phytoplankton","Chaetoceros socialis",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1109","Algae/Phytoplankton","Acanthoica quattrospina",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1110","Algae/Phytoplankton","Actiniscus pentasterias",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1111","Algae/Phytoplankton","Actinocyclus cf curvatulus",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1112","Inverts/Zooplankton","Pegea socia",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1113","Inverts/Zooplankton","Pegea spp",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
"1114","Algae/Phytoplankton","Actinoptychus adriaticus + A  vulgaris",NA,"Species sampled by CalCOFI",NA,NA,NA,NA,NA
